fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
3,0.2701754385964912,0.2982456140350877,0.2631578947368421,0.2631578947368421,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,5
4,0.037037037037037035,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,0.058479532163742694,0.041353383458646614,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.14285714285714285,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,6
2,0.07368421052631578,0.06578947368421052,0.10526315789473684,0.10526315789473684,0.2,0.125,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
3,0.08421052631578947,0.07017543859649122,0.10526315789473684,0.10526315789473684,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
4,0.06349206349206349,0.044444444444444446,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
1,0.08270676691729323,0.07368421052631578,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.2,0.5,0.0,0.0,0.0,0.5,0.5,0.5,7
2,0.11812865497076024,0.10275689223057642,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.14285714285714285,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,7
3,0.17543859649122806,0.23684210526315788,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
4,0.037037037037037035,0.027777777777777776,0.05555555555555555,0.05555555555555555,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
1,0.08187134502923976,0.05639097744360902,0.15789473684210525,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.2857142857142857,1.0,8
