replicate,k,purity
33,10,0.16613
34,10,0.17883
35,10,0.14783000000000002
36,10,0.17108
37,10,0.16552
38,10,0.16054
39,10,0.15288999999999997
40,10,0.12848999999999997
41,10,0.15648
42,10,0.25965
43,10,0.14222
44,10,0.149
45,10,0.26237
46,10,0.16776
47,10,0.15608000000000002
48,10,0.16975
49,10,0.14322000000000001
0,11,0.13955
1,11,0.15161
2,11,0.14911000000000002
3,11,0.15902
4,11,0.14858
5,11,0.1466
6,11,0.15622
7,11,0.14883000000000002
8,11,0.14271
9,11,0.14899
10,11,0.14386
11,11,0.14914
12,11,0.15377000000000002
13,11,0.13132000000000002
14,11,0.15320000000000003
15,11,0.15551
16,11,0.14551999999999998
17,11,0.15994999999999998
18,11,0.15848
19,11,0.14563
20,11,0.15397
21,11,0.24554
22,11,0.14246999999999999
23,11,0.15357
24,11,0.16044
25,11,0.15594999999999998
26,11,0.14664000000000002
27,11,0.14784
28,11,0.1447
29,11,0.15606000000000003
30,11,0.14751
31,11,0.13692
32,11,0.14693
33,11,0.14165
34,11,0.14397000000000001
35,11,0.15362000000000003
36,11,0.18729
37,11,0.21477
38,11,0.14677999999999997
39,11,0.15350999999999998
40,11,0.15063
41,11,0.15
42,11,0.20611000000000002
43,11,0.14421
44,11,0.14605
45,11,0.13979000000000003
46,11,0.15794000000000002
47,11,0.15027000000000001
48,11,0.17931000000000002
49,11,0.16445
0,12,0.12686000000000003
1,12,0.12890000000000001
2,12,0.13116
3,12,0.12987
4,12,0.12708999999999998
5,12,0.16286
6,12,0.12204000000000001
7,12,0.12741
8,12,0.13097999999999999
9,12,0.14035
10,12,0.17038000000000003
11,12,0.16141
12,12,0.12882
13,12,0.13075
14,12,0.1272
15,12,0.17599
16,12,0.12310000000000001
17,12,0.13255999999999998
18,12,0.12983
19,12,0.13027000000000002
20,12,0.13828999999999997
21,12,0.12016999999999997
22,12,0.13479000000000002
23,12,0.12417999999999998
24,12,0.17422
25,12,0.13049000000000002
26,12,0.12997999999999998
27,12,0.12708
28,12,0.13101000000000002
29,12,0.13326
30,12,0.16161000000000003
31,12,0.12528999999999998
32,12,0.13016
33,12,0.13717000000000001
34,12,0.12618
35,12,0.16291
36,12,0.16970000000000002
37,12,0.12643
38,12,0.12404
39,12,0.13077999999999998
40,12,0.12825
41,12,0.13266
42,12,0.13180999999999998
43,12,0.13127
44,12,0.13147999999999999
45,12,0.11851
46,12,0.13068
47,12,0.13381
48,12,0.13422000000000003
49,12,0.12489999999999998
0,13,0.13365
1,13,0.14314
2,13,0.17414999999999997
3,13,0.13083
4,13,0.1617
5,13,0.18124
6,13,0.12559
7,13,0.12668
8,13,0.12761
9,13,0.13281
10,13,0.13252
11,13,0.18191000000000002
12,13,0.13837
13,13,0.16319999999999998
14,13,0.16495
15,13,0.22599999999999998
16,13,0.17176
17,13,0.17329999999999998
18,13,0.12997
19,13,0.13118
20,13,0.16515000000000002
21,13,0.14520000000000002
22,13,0.12977
23,13,0.12916999999999998
24,13,0.14664
25,13,0.13533
26,13,0.12775
27,13,0.16927999999999999
28,13,0.12835
29,13,0.12774000000000002
30,13,0.13772
31,13,0.12660999999999997
32,13,0.13173
33,13,0.16582000000000002
34,13,0.1278
35,13,0.12994
36,13,0.1299
37,13,0.16921
38,13,0.12242000000000001
39,13,0.14073999999999998
40,13,0.18077000000000001
41,13,0.13415000000000002
42,13,0.17536999999999997
43,13,0.12918
