fold,f1,precision,recall,accuracy,pc_EBOV_f1,pc_EBOV_precision,pc_EBOV_recall,pc_H1N1_f1,pc_H1N1_precision,pc_H1N1_recall,pc_H5N1_f1,pc_H5N1_precision,pc_H5N1_recall,pc_LASV_f1,pc_LASV_precision,pc_LASV_recall,pc_MARV_f1,pc_MARV_precision,pc_MARV_recall,pc_Mock_f1,pc_Mock_precision,pc_Mock_recall,pc_NiV_f1,pc_NiV_precision,pc_NiV_recall,pc_RSV_f1,pc_RSV_precision,pc_RSV_recall,pc_RVFV_f1,pc_RVFV_precision,pc_RVFV_recall,pc_SFSV_f1,pc_SFSV_precision,pc_SFSV_recall,k
4,0.5629629629629629,0.537037037037037,0.6111111111111112,0.6111111111111112,0.6666666666666666,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.4,0.3333333333333333,0.5,4
1,0.5228070175438596,0.543859649122807,0.5789473684210527,0.5789473684210527,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,5
2,0.5754385964912281,0.6491228070175438,0.5789473684210527,0.5789473684210527,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,0.5,1.0,5
3,0.39348370927318294,0.375438596491228,0.47368421052631576,0.47368421052631576,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.5714285714285714,0.4,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,5
4,0.6074074074074074,0.6296296296296295,0.6111111111111112,0.6111111111111112,1.0,1.0,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.4,0.3333333333333333,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,5
1,0.42105263157894735,0.42105263157894735,0.47368421052631576,0.47368421052631576,0.5,0.5,0.5,1.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,6
2,0.4776942355889724,0.5859649122807017,0.47368421052631576,0.47368421052631576,0.5714285714285714,0.4,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,6
3,0.34736842105263155,0.3333333333333333,0.42105263157894735,0.42105263157894735,0.0,0.0,0.0,0.6666666666666666,1.0,0.5,0.4,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,1.0,0.4,0.3333333333333333,0.5,6
4,0.4962962962962963,0.5185185185185185,0.5,0.5,0.8,0.6666666666666666,1.0,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,6
1,0.5859649122807018,0.5263157894736842,0.6842105263157895,0.6842105263157895,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.8,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,7
