replicate,k,purity
23,3,0.17467000000000002
24,3,0.16129000000000002
25,3,0.17096
26,3,0.13267
27,3,0.22706999999999997
28,3,0.25849
29,3,0.14463
30,3,0.1724
31,3,0.15761
32,3,0.18746000000000002
33,3,0.15352000000000002
34,3,0.14821
35,3,0.16648
36,3,0.12221
37,3,0.20299
38,3,0.15874000000000002
39,3,0.17694000000000001
40,3,0.15499000000000002
41,3,0.16133999999999998
42,3,0.17186999999999997
43,3,0.16560000000000002
44,3,0.16568999999999998
45,3,0.15596000000000002
46,3,0.15019000000000002
47,3,0.15643
48,3,0.14731
49,3,0.17666999999999997
0,4,0.20118
1,4,0.17804999999999999
2,4,0.18037
3,4,0.15709
4,4,0.23959000000000003
5,4,0.23896
6,4,0.17848
7,4,0.16951999999999998
8,4,0.20837
9,4,0.16107
10,4,0.18939
11,4,0.1823
12,4,0.17134
13,4,0.19572
14,4,0.18575999999999998
15,4,0.25003000000000003
16,4,0.24298999999999998
17,4,0.23341999999999996
18,4,0.16668
19,4,0.16848999999999997
20,4,0.17629
21,4,0.1768
22,4,0.1609
23,4,0.17446
24,4,0.17831
25,4,0.15228999999999998
26,4,0.2451
27,4,0.19807
28,4,0.26115000000000005
29,4,0.19666999999999998
30,4,0.18903
31,4,0.16080999999999998
32,4,0.16522
33,4,0.26781
34,4,0.19256
35,4,0.21419000000000002
36,4,0.22794000000000003
37,4,0.16938999999999999
38,4,0.21903
39,4,0.16340000000000002
40,4,0.21241
41,4,0.18164999999999998
42,4,0.16445
43,4,0.24444000000000005
44,4,0.20057
45,4,0.23187000000000008
46,4,0.22372999999999998
47,4,0.26092
48,4,0.15061
49,4,0.20729000000000003
0,5,0.16792999999999997
1,5,0.15625999999999998
2,5,0.26527
3,5,0.13481
4,5,0.15095
5,5,0.14983
6,5,0.15506999999999999
7,5,0.18343
8,5,0.15604
9,5,0.14354
10,5,0.11599999999999999
11,5,0.22462999999999997
12,5,0.14199
13,5,0.19352
14,5,0.17413
15,5,0.13505000000000003
16,5,0.14895
17,5,0.17453999999999997
18,5,0.24052
19,5,0.22565
20,5,0.23378000000000002
21,5,0.18224
22,5,0.15103
23,5,0.21842
24,5,0.16813
25,5,0.1646
26,5,0.14536
27,5,0.21783999999999998
28,5,0.20637
29,5,0.17365
30,5,0.19149
31,5,0.18818000000000001
32,5,0.15800999999999998
33,5,0.14271
34,5,0.17651
35,5,0.15206
36,5,0.2171
37,5,0.1861
38,5,0.16538999999999998
39,5,0.29669
40,5,0.17522
41,5,0.23287
42,5,0.21552000000000002
43,5,0.14247
44,5,0.17404000000000003
45,5,0.15733
46,5,0.15675999999999998
47,5,0.11200999999999998
48,5,0.16592
49,5,0.19066
0,6,0.15206999999999998
1,6,0.15527000000000002
2,6,0.18763000000000002
3,6,0.14296000000000003
4,6,0.1698
5,6,0.17110999999999998
6,6,0.19723
7,6,0.21798
8,6,0.17209999999999998
9,6,0.15475
10,6,0.15589
11,6,0.14446
12,6,0.17731
13,6,0.18917
14,6,0.13684000000000002
15,6,0.20381
16,6,0.17868
17,6,0.20616000000000004
18,6,0.16432999999999998
19,6,0.14465
20,6,0.14461
21,6,0.23852
22,6,0.14661
23,6,0.15933999999999998
24,6,0.14198
25,6,0.16704999999999998
26,6,0.14528999999999997
27,6,0.2262
28,6,0.16675
29,6,0.20109
30,6,0.14652
31,6,0.1463
32,6,0.17214999999999997
33,6,0.16072000000000003
34,6,0.14535
35,6,0.15124999999999997
36,6,0.14557
37,6,0.13312
38,6,0.16501
39,6,0.17434999999999998
40,6,0.15829
41,6,0.15836999999999998
42,6,0.14504
43,6,0.14582
44,6,0.15806
