replicate,k,purity
22,4,0.22911000000000006
23,4,0.12240999999999999
24,4,0.25362
25,4,0.14884
26,4,0.21669999999999998
27,4,0.16391
28,4,0.23804000000000003
29,4,0.26278
30,4,0.15259999999999999
31,4,0.26772999999999997
32,4,0.13544
33,4,0.15749
34,4,0.17599
35,4,0.15694
36,4,0.19415
37,4,0.13545000000000001
38,4,0.23365
39,4,0.14788
40,4,0.20804
41,4,0.14526
42,4,0.17534
43,4,0.15305
44,4,0.16978
45,4,0.12869999999999998
46,4,0.15477000000000002
47,4,0.196
48,4,0.14875
49,4,0.13979
0,5,0.25087000000000004
1,5,0.28565999999999997
2,5,0.37269
3,5,0.22667
4,5,0.23868
5,5,0.24261000000000005
6,5,0.21131000000000003
7,5,0.18164999999999998
8,5,0.36115
9,5,0.31154
10,5,0.25418
11,5,0.33377
12,5,0.30548000000000003
13,5,0.34176999999999996
14,5,0.38203
15,5,0.18861000000000003
16,5,0.15028999999999998
17,5,0.22598000000000001
18,5,0.21552999999999994
19,5,0.23612000000000002
20,5,0.32046
21,5,0.26661999999999997
22,5,0.15836
23,5,0.2986
24,5,0.21932000000000001
25,5,0.16553
26,5,0.33521
27,5,0.17678
28,5,0.23248000000000002
29,5,0.24717000000000003
30,5,0.23583000000000004
31,5,0.17514999999999997
32,5,0.23897
33,5,0.33541
34,5,0.2272
35,5,0.34056
36,5,0.23127
37,5,0.25341
38,5,0.22281
39,5,0.17457999999999999
40,5,0.24187999999999996
41,5,0.29474
42,5,0.26683
43,5,0.15764
44,5,0.20407000000000003
45,5,0.25295
46,5,0.26869
47,5,0.23002999999999996
48,5,0.31488
49,5,0.16802
0,6,0.32161000000000006
1,6,0.3496
2,6,0.25129
3,6,0.24518000000000004
4,6,0.3415
5,6,0.23414000000000001
6,6,0.22806999999999994
7,6,0.23546000000000006
8,6,0.32392
9,6,0.24533000000000005
10,6,0.28945999999999994
11,6,0.30869
12,6,0.23839000000000002
13,6,0.37227
14,6,0.33076
15,6,0.22737000000000002
16,6,0.24446000000000004
17,6,0.2964
18,6,0.26670000000000005
19,6,0.22998999999999997
20,6,0.24957
21,6,0.42559
22,6,0.31151
23,6,0.22093
24,6,0.18877999999999998
25,6,0.1628
26,6,0.26855
27,6,0.22779
28,6,0.21545999999999998
29,6,0.32238
30,6,0.31446
31,6,0.33102
32,6,0.21344000000000002
33,6,0.23987000000000003
34,6,0.24826000000000006
35,6,0.39264
36,6,0.27016
37,6,0.23766999999999996
38,6,0.31974
39,6,0.22705000000000003
40,6,0.34017
41,6,0.22783000000000003
42,6,0.31606000000000006
43,6,0.24212999999999996
44,6,0.24013
45,6,0.22709000000000001
46,6,0.39105
47,6,0.21925
48,6,0.24806999999999996
49,6,0.27148
0,7,0.15394
1,7,0.14522000000000004
2,7,0.16895
3,7,0.15417000000000003
4,7,0.23909000000000002
5,7,0.22085
6,7,0.26200999999999997
7,7,0.34661
8,7,0.14479
9,7,0.16373
10,7,0.12395
11,7,0.13609999999999997
12,7,0.36145
13,7,0.20925000000000002
14,7,0.24499000000000004
15,7,0.23548999999999998
16,7,0.33142
17,7,0.32037
18,7,0.23421000000000003
19,7,0.21803999999999996
20,7,0.12923999999999997
21,7,0.25921
22,7,0.12595
23,7,0.21878000000000003
24,7,0.18115
25,7,0.13151000000000002
26,7,0.31977000000000005
27,7,0.34329
28,7,0.23485999999999999
29,7,0.24972
30,7,0.23126000000000008
31,7,0.30463
32,7,0.15807
33,7,0.30748000000000003
34,7,0.12957
35,7,0.40557999999999994
36,7,0.24924
37,7,0.16544000000000003
38,7,0.19707
39,7,0.13901000000000002
40,7,0.37095
41,7,0.12344
42,7,0.31262
43,7,0.12575
44,7,0.31331000000000003
45,7,0.22302
46,7,0.31192000000000003
47,7,0.4694
48,7,0.13157
49,7,0.21627999999999997
0,8,0.23487
1,8,0.25129
2,8,0.42635000000000006
3,8,0.4391999999999999
4,8,0.40488
5,8,0.46125
6,8,0.41742999999999997
7,8,0.33046
8,8,0.35069
9,8,0.33645
10,8,0.42855
11,8,0.4290399999999999
12,8,0.33234
13,8,0.21608999999999998
14,8,0.33038
15,8,0.32853000000000004
16,8,0.32156
17,8,0.3198
18,8,0.33652
19,8,0.41422
20,8,0.32659000000000005
21,8,0.42463999999999996
22,8,0.27888
23,8,0.41798
24,8,0.33525
25,8,0.41586999999999996
26,8,0.25129
27,8,0.42490000000000006
28,8,0.40267
29,8,0.4271999999999999
30,8,0.34743
31,8,0.42743000000000003
32,8,0.52614
33,8,0.42899000000000004
34,8,0.42161
35,8,0.33666
36,8,0.24115999999999999
37,8,0.32865
38,8,0.40817999999999993
39,8,0.24427000000000004
40,8,0.31858
41,8,0.30413999999999997
42,8,0.33409
43,8,0.34143
44,8,0.32899
45,8,0.33253
46,8,0.42189
47,8,0.43642000000000003
48,8,0.42661999999999994
49,8,0.33440000000000003
0,9,0.42268
1,9,0.46252000000000004
2,9,0.33
3,9,0.41749
4,9,0.33257
5,9,0.25485
6,9,0.42151999999999995
7,9,0.32203
8,9,0.44111
9,9,0.5106399999999999
10,9,0.32867999999999997
11,9,0.33396000000000003
12,9,0.30278
13,9,0.36869999999999997
14,9,0.32742000000000004
15,9,0.4119499999999999
16,9,0.33245
17,9,0.41329000000000005
18,9,0.42557999999999996
19,9,0.23922999999999997
20,9,0.33149999999999996
21,9,0.33188
22,9,0.25368
23,9,0.25953
24,9,0.41714
25,9,0.33671999999999996
26,9,0.3352
27,9,0.42285000000000006
28,9,0.32579
29,9,0.33214
30,9,0.34811
31,9,0.41701999999999995
32,9,0.33451999999999993
33,9,0.33702
34,9,0.41529000000000005
35,9,0.4431
36,9,0.22678000000000004
37,9,0.328
38,9,0.42339000000000004
39,9,0.42247
40,9,0.33028
41,9,0.32453000000000004
42,9,0.42189999999999994
43,9,0.33140000000000003
44,9,0.34828000000000003
45,9,0.23905000000000004
46,9,0.34501
47,9,0.43582
48,9,0.42054
49,9,0.41997999999999996
0,10,0.4309900000000001
1,10,0.42025000000000007
2,10,0.5331699999999999
3,10,0.5432400000000001
4,10,0.44689000000000006
5,10,0.44145
6,10,0.42341999999999996
7,10,0.43199
8,10,0.51858
9,10,0.52298
10,10,0.43296
11,10,0.52482
12,10,0.5229799999999999
13,10,0.44311999999999996
14,10,0.5272
15,10,0.4274699999999999
16,10,0.43661000000000005
17,10,0.43895
18,10,0.43545999999999996
19,10,0.5209900000000001
20,10,0.5271399999999999
21,10,0.42939999999999995
22,10,0.43965000000000004
23,10,0.43238000000000004
24,10,0.44238
25,10,0.43147
26,10,0.43729000000000007
27,10,0.42221999999999993
28,10,0.43500999999999995
29,10,0.4524500000000001
30,10,0.32965999999999995
31,10,0.43147
32,10,0.4324800000000001
33,10,0.5316799999999999
34,10,0.44349999999999995
35,10,0.45119
36,10,0.43012999999999996
37,10,0.43955
38,10,0.5368900000000001
39,10,0.4258
40,10,0.44033
41,10,0.43896999999999997
42,10,0.4553399999999999
43,10,0.5319200000000001
44,10,0.43113
45,10,0.50874
46,10,0.44428999999999996
47,10,0.43496000000000007
48,10,0.4346799999999999
49,10,0.43632
0,11,0.37176
1,11,0.45687999999999995
2,11,0.38225000000000003
3,11,0.39098
4,11,0.40852999999999995
5,11,0.37662
6,11,0.38635
7,11,0.38948
8,11,0.40024999999999994
9,11,0.39142
10,11,0.38663
11,11,0.40912999999999994
12,11,0.42374999999999996
13,11,0.3796800000000001
14,11,0.41875999999999997
15,11,0.38726000000000005
16,11,0.46006
17,11,0.37888000000000005
18,11,0.42336999999999997
19,11,0.39195
20,11,0.3997
21,11,0.41963000000000006
22,11,0.38303000000000004
23,11,0.38852000000000003
24,11,0.39219
25,11,0.37638
26,11,0.47047999999999995
27,11,0.38983
28,11,0.38987
29,11,0.38664
30,11,0.38456999999999997
31,11,0.42791999999999997
32,11,0.3938499999999999
33,11,0.38793000000000005
34,11,0.42232000000000003
35,11,0.38205
36,11,0.40553999999999996
37,11,0.41940999999999995
38,11,0.37310000000000004
39,11,0.40232
40,11,0.43573000000000006
41,11,0.40976999999999997
42,11,0.41897
43,11,0.38031000000000004
44,11,0.37963
45,11,0.38394999999999996
46,11,0.4217000000000001
47,11,0.42221000000000003
48,11,0.45874000000000004
49,11,0.41373
0,12,0.26724000000000003
1,12,0.26232
2,12,0.24205000000000002
3,12,0.24644
4,12,0.32998
5,12,0.23165
6,12,0.25194
7,12,0.23879
8,12,0.15419
9,12,0.24386999999999998
10,12,0.24219
11,12,0.23468999999999998
12,12,0.24939999999999998
13,12,0.24789000000000003
14,12,0.25288
15,12,0.26868
16,12,0.2476
17,12,0.27314
18,12,0.23704999999999998
19,12,0.15009
20,12,0.23924000000000004
21,12,0.2385
22,12,0.33895
23,12,0.24843
24,12,0.26136000000000004
25,12,0.25616000000000005
26,12,0.26574
27,12,0.23715999999999998
28,12,0.14934
29,12,0.23398999999999998
30,12,0.27172999999999997
31,12,0.23665999999999995
32,12,0.23798
33,12,0.24005
34,12,0.23786999999999997
35,12,0.23810000000000003
36,12,0.23853
37,12,0.33119
38,12,0.363
39,12,0.24236
40,12,0.24240999999999996
41,12,0.23305999999999996
42,12,0.23545
43,12,0.27027999999999996
44,12,0.25335
45,12,0.26994999999999997
46,12,0.24503000000000003
47,12,0.24560999999999994
48,12,0.27081
49,12,0.23772999999999994
0,13,0.14271999999999999
1,13,0.14733999999999997
2,13,0.24433
3,13,0.15726
4,13,0.15084999999999998
5,13,0.23641
6,13,0.14881
7,13,0.15222
8,13,0.14893
9,13,0.22186
10,13,0.23556
11,13,0.22845
12,13,0.25539999999999996
13,13,0.24635999999999997
14,13,0.16393
15,13,0.15297999999999998
16,13,0.14124
17,13,0.15115
18,13,0.1701
19,13,0.14032
20,13,0.14692
21,13,0.17889
22,13,0.14284999999999998
23,13,0.16449
24,13,0.15008
25,13,0.13953
26,13,0.13908
27,13,0.17571
28,13,0.13887
29,13,0.23496999999999998
30,13,0.15579
31,13,0.14516
32,13,0.154
33,13,0.13871
34,13,0.14963
35,13,0.14252
36,13,0.14922999999999997
37,13,0.14688
38,13,0.17117
39,13,0.15043
40,13,0.13984000000000002
41,13,0.18370999999999998
42,13,0.14267
43,13,0.14479
44,13,0.14096
45,13,0.14254
46,13,0.15409
47,13,0.28092
48,13,0.14966
49,13,0.23849
0,14,0.14717
1,14,0.15282999999999997
2,14,0.1412
3,14,0.18051
4,14,0.14633999999999997
5,14,0.15334
6,14,0.14327
7,14,0.13992
8,14,0.15033
9,14,0.23318999999999995
10,14,0.17594000000000004
11,14,0.17051
12,14,0.14709
13,14,0.16927999999999999
14,14,0.13858
15,14,0.14871
16,14,0.17825
17,14,0.15317999999999998
18,14,0.15409
19,14,0.14343
20,14,0.15293
21,14,0.15423
22,14,0.14821
23,14,0.15962
24,14,0.17076
25,14,0.14466
26,14,0.15149
27,14,0.16224999999999998
28,14,0.14462
29,14,0.15423
30,14,0.1761
31,14,0.15239000000000003
32,14,0.14592999999999998
33,14,0.17121
34,14,0.17616
35,14,0.22408999999999998
36,14,0.16097
37,14,0.15642999999999999
38,14,0.14496
39,14,0.17586999999999997
40,14,0.18630000000000002
41,14,0.24561000000000002
42,14,0.13560999999999998
43,14,0.15123
44,14,0.14550000000000002
45,14,0.25556
46,14,0.14977
47,14,0.15182999999999996
48,14,0.15702
49,14,0.17753000000000002
0,15,0.17988999999999997
1,15,0.14357999999999999
2,15,0.14170999999999997
3,15,0.14589
4,15,0.14857
5,15,0.16991
6,15,0.14798
7,15,0.14250000000000002
8,15,0.16262
9,15,0.16032
10,15,0.17789
11,15,0.15484000000000003
12,15,0.14894999999999997
13,15,0.15560999999999997
14,15,0.16995
15,15,0.18897
16,15,0.14406999999999998
17,15,0.14196999999999999
18,15,0.24256000000000003
19,15,0.14608
20,15,0.14207
21,15,0.14669999999999997
22,15,0.17774
23,15,0.1359
24,15,0.14531
25,15,0.1708
26,15,0.14262
27,15,0.16409
28,15,0.20905
29,15,0.16201000000000002
30,15,0.14192
31,15,0.14292999999999997
32,15,0.17601
33,15,0.13919
34,15,0.16855000000000003
35,15,0.14284000000000002
36,15,0.14148
37,15,0.14556
38,15,0.14057999999999998
39,15,0.17445000000000002
40,15,0.14157999999999998
41,15,0.16156
42,15,0.15328999999999998
43,15,0.14387999999999998
44,15,0.14662
45,15,0.14603000000000002
46,15,0.14414
47,15,0.1442
48,15,0.14489000000000002
49,15,0.16022
